questionsAnswered,correct_answers,timeSpent,halfCorrect,reversed,questionsSkipped,answerChanges,flaggedQuestions,label
28,18,10.9,4,4,8,1,1,moyen
12,2,18.72,1,1,13,5,5,très faible
31,31,15.53,0,0,6,3,0,fort
18,10,12.68,7,0,12,0,4,faible
30,22,12.09,2,4,3,3,1,moyen
12,1,12.06,4,2,9,3,0,très faible
31,23,18.35,0,5,5,6,5,moyen
16,8,17.23,4,0,5,2,5,très faible
15,2,15.8,10,2,4,6,5,très faible
39,3,16.22,3,3,3,6,3,très faible
39,31,12.52,2,1,13,2,1,moyen
29,16,11.38,1,2,6,3,2,faible
31,28,12.01,2,1,2,3,5,fort
29,7,16.73,2,2,10,2,4,très faible
37,34,18.29,3,0,5,2,5,moyen
23,13,13.5,0,0,15,0,3,faible
22,19,11.99,3,0,14,5,1,faible
27,12,16.33,3,5,20,5,0,faible
37,7,12.42,1,4,14,6,3,très faible
22,22,15.45,0,0,15,5,4,faible
28,16,15.87,7,5,17,2,0,faible
21,18,18.0,0,2,4,2,4,faible
23,11,12.18,10,2,4,6,0,faible
29,23,18.66,4,1,1,0,5,moyen
12,8,14.99,3,0,5,3,2,très faible
32,32,12.21,0,0,2,1,0,fort
10,6,12.24,2,1,3,4,1,très faible
22,13,18.06,4,3,7,4,5,faible
28,10,16.1,8,2,11,1,0,très faible
17,8,13.25,2,1,8,4,5,très faible
24,15,10.55,9,0,5,0,1,faible
18,1,18.49,6,0,9,0,1,très faible
35,2,17.87,0,1,5,4,3,très faible
36,28,16.25,7,0,0,2,2,moyen
28,21,11.62,0,1,7,4,2,moyen
18,12,11.04,0,0,11,0,3,faible
17,11,14.88,5,1,5,0,5,très faible
27,23,16.98,2,1,8,6,3,moyen
26,0,12.19,4,2,14,1,1,très faible
33,3,12.91,1,3,20,4,4,très faible
10,2,19.5,4,2,18,6,4,très faible
10,6,13.92,0,1,3,6,4,très faible
32,4,19.28,9,1,13,1,1,très faible
25,19,14.34,5,0,2,5,5,faible
33,9,14.31,10,0,17,4,0,très faible
12,10,19.45,2,0,9,6,5,très faible
28,11,19.02,4,5,16,3,5,très faible
22,0,16.95,2,3,17,4,1,très faible
12,2,18.13,10,0,19,3,5,très faible
39,14,11.69,1,4,4,1,2,très faible
34,34,15.79,0,0,16,5,4,fort
26,17,19.34,0,2,8,4,2,moyen
40,38,12.85,0,2,4,4,2,fort
10,6,12.21,2,2,13,5,2,très faible
36,21,17.14,4,1,13,4,5,faible
17,10,18.01,1,4,10,1,0,très faible
26,25,13.91,1,0,1,0,5,moyen
26,0,19.2,3,2,12,0,3,très faible
21,1,11.19,10,1,4,2,1,très faible
26,25,10.17,1,0,19,1,2,moyen
10,2,18.06,4,0,11,5,0,très faible
37,9,19.75,6,2,20,0,0,très faible
11,11,10.24,0,0,10,2,2,très faible
27,25,17.74,0,1,12,4,5,moyen
30,30,16.36,0,0,1,3,4,fort
11,0,16.66,9,0,14,4,0,très faible
38,14,13.11,8,4,12,4,1,très faible
21,18,18.83,3,0,17,3,1,faible
12,4,19.74,1,1,4,1,4,très faible
23,6,12.49,0,2,7,4,1,très faible
40,11,15.9,10,3,19,5,3,très faible
29,8,11.27,9,5,7,3,0,très faible
29,22,12.06,6,0,9,0,1,moyen
25,9,14.5,3,2,7,2,2,très faible
27,12,15.9,9,5,0,3,5,faible
38,3,18.24,0,3,4,5,4,très faible
32,3,11.29,9,1,11,4,4,très faible
32,5,19.41,1,0,8,1,0,très faible
36,15,19.18,10,3,11,4,1,faible
21,15,18.78,4,1,8,4,2,faible
39,6,19.63,5,3,11,0,4,très faible
37,28,15.37,8,0,19,1,4,moyen
30,16,15.0,6,3,13,5,0,faible
38,13,10.76,9,1,7,1,0,très faible
11,5,14.32,2,0,10,4,0,très faible
19,12,13.63,4,3,3,4,0,faible
10,1,19.3,3,0,16,5,5,très faible
11,3,16.72,0,0,0,4,1,très faible
35,1,15.19,9,0,10,4,3,très faible
25,24,17.34,1,0,17,0,2,faible
29,25,14.43,4,0,13,6,1,moyen
14,8,12.64,4,2,1,1,4,très faible
32,22,11.58,5,4,1,5,4,moyen
21,11,15.7,4,1,20,5,2,faible
32,25,14.19,0,4,16,0,2,moyen
40,33,11.58,5,1,1,3,5,moyen
18,12,17.32,2,2,16,5,5,faible
37,7,15.28,9,2,17,1,1,très faible
18,17,12.8,1,0,3,3,3,faible
16,16,15.73,0,0,15,0,5,très faible
25,1,12.97,7,1,8,1,3,très faible
14,3,12.42,4,4,7,3,1,très faible
18,15,12.02,0,0,9,3,2,faible
19,18,19.02,0,0,19,2,4,faible
23,21,13.34,1,0,9,4,2,faible
33,28,14.24,4,0,13,6,1,moyen
20,1,13.49,5,3,4,2,0,très faible
11,3,16.26,6,0,4,0,3,très faible
12,4,16.46,0,5,15,2,0,très faible
32,30,15.38,1,0,17,5,1,fort
27,24,11.72,3,0,3,3,5,moyen
16,3,16.94,8,3,17,1,3,très faible
10,1,10.54,4,5,6,6,3,très faible
11,8,11.48,0,1,12,0,3,très faible
32,9,16.67,4,1,17,5,0,très faible
17,1,17.07,2,0,16,0,5,très faible
18,6,12.01,3,2,20,2,5,très faible
34,6,17.2,9,0,8,5,3,très faible
27,15,12.12,1,0,5,2,3,faible
20,17,14.0,2,1,6,1,3,faible
32,11,19.93,1,4,6,1,2,très faible
10,1,14.09,8,0,20,2,5,très faible
17,16,17.22,1,0,17,4,4,très faible
24,4,16.49,2,1,4,6,4,très faible
22,1,12.41,3,1,9,2,1,très faible
13,7,15.35,0,5,1,5,0,très faible
28,27,19.13,1,0,9,0,3,moyen
13,0,16.18,0,0,0,6,3,très faible
33,14,17.0,6,0,12,4,0,faible
28,4,10.94,0,3,0,4,0,très faible
32,7,19.5,3,3,12,2,1,très faible
21,21,19.21,0,0,6,0,2,faible
14,14,15.71,0,0,15,1,1,très faible
35,25,11.88,9,1,13,6,0,moyen
25,7,10.19,2,5,3,6,4,très faible
15,0,15.03,9,1,15,1,0,très faible
30,29,19.81,0,0,3,4,1,fort
38,8,18.46,0,5,15,1,0,très faible
14,3,16.7,10,1,15,4,2,très faible
